UnitID,Institution Name,Carnegie Classification 2018: Basic (HD2019),Total assets (F1718_F2),Total net assets (F1718_F2),Total revenues and investment return - Total (F1718_F2),Total expenses-Total amount (F1718_F2),Total assets (F1617_F2_RV),Total net assets (F1617_F2_RV),Total revenues and investment return - Total (F1617_F2_RV),Total expenses-Total amount (F1617_F2_RV),
138600,Agnes Scott College,21,366612701,285958713,51555678,56036998,368410173,290521844,66323152,55209213,
168546,Albion College,21,290705190,217548974,60163373,62083494,295529999,219469095,65946030,57104868,
210571,Albright College,21,179304908,125350289,51106557,51658898,175561887,126005078,61580848,54428540,
210669,Allegheny College,21,385272210,300915680,89476824,82137830,364168065,293991120,98311743,77063260,
217624,Allen University,21,45511752,18069930,16773582,15484882,45321763,16781230,16152508,13768248,
116846,American Jewish University,21,139579279,99402859,21296414,25810254,144165542,103916699,21588826,24622259,
164465,Amherst College,21,3554904915,2923973186,427083632,203407526,3335046549,2689896211,453450797,194996830,
483018,Antioch College,21,101081861,59848986,13036885,15863387,104961965,62675488,15982589,17640628,
168786,Aquinas College,21,125363978,96731554,41963809,35894719,120785116,90662464,50127830,34808900,
143084,Augustana College,21,360873315,292850317,90822188,77400098,345710238,276848809,101686136,74983650,
222983,Austin College,21,279963347,225536833,66836102,47055373,261436858,205581677,54799938,44759946,
446048,Ave Maria University,21,292718355,222436037,40645483,39261439,293642489,221051993,38230543,39127091,
189088,Bard College,21,513791731,286021798,165238775,172597801,542178807,294657406,162664063,161964296,
189097,Barnard College,21,737861000,515312000,191433000,165982000,684939000,489861000,206463000,157388000,
160977,Bates College,21,655746273,518873863,134353959,115352850,638476763,498348634,214588176,112073881,
238333,Beloit College,21,255528681,186054066,63587152,52674656,248744463,175141570,71445909,54840660,
197993,Bennett College,21,50983822,14264956,15637016,15621346,49945898,14249286,15681587,15898423,
230816,Bennington College,21,130923368,70406308,41285770,41941818,107370752,71062356,45187507,40248765,
156295,Berea College,21,1604940747,1526640060,178976284,118584587,1543965338,1464141989,232653033,104699869,
237181,Bethany College,21,84936849,42548014,25411299,25542698,82785313,42679413,22032717,23895250,
173142,Bethany Lutheran College,21,93421643,79725641,19741173,20011955,94795915,79996423,20665231,18577938,
132602,Bethune-Cookman University,21,212581574,87141745,88808824,97091227,221467448,95424148,91311643,97089640,
100937,Birmingham-Southern College,21,173622974,122384782,43107825,47313742,179607698,126590699,61338722,47596268,
143288,Blackburn College,21,60680234,53589098,15833235,15544386,60835288,53300249,17000956,14691243,
183822,Bloomfield College,21,106612046,65661127,46831810,44885963,104663316,63715280,49680764,45395754,
161004,Bowdoin College,21,2201155000,1803105000,343877000,167456000,2036597000,1628859000,291518000,160575000,
139205,Brewton-Parker College,21,27328294,17505835,11297207,10059311,26331297,16210169,10428320,9370575,
231581,Bridgewater College,21,220682089,158767538,57429109,49679776,205325294,151230340,62661414,47639127,
210492,Bryn Athyn College of the New Church,21,,,14550679,16778882,,,16659665,15362871,
211273,Bryn Mawr College,21,1225839000,1072768000,196056000,122074000,1153283000,997942000,181706000,123769000,
211291,Bucknell University,21,1386459000,1110384000,314687000,241253000,1326088000,1036950000,349952000,231833000,
173258,Carleton College,21,1412434433,1217474338,221725678,142143913,1337663855,1137892573,265580699,138089424,
158477,Centenary College of Louisiana,21,172725407,152780468,27150272,24868572,168219223,150498768,33243881,25451943,
153108,Central College,21,187395705,112968981,45706175,45937925,186156341,113200731,38153416,45422100,
156408,Centre College,21,462594453,368487622,86163285,63804270,443314672,346128607,102534498,64297703,
128780,Charter Oak State College,21,,,,,,,,,
211608,Cheyney University of Pennsylvania,21,,,,,,,,,
198303,Chowan University,21,81981326,69588935,31697011,29295438,80133929,67392609,31504916,28195454,
112260,Claremont McKenna College,21,1388711000,1131869000,189672000,121489000,1326170000,1060775000,200707000,115518000,
153144,Coe College,21,194338257,139410884,42566474,40839176,193944047,136611727,44842557,40888280,
161086,Colby College,21,1697505000,1414682000,370516000,154010000,1481774000,1199398000,277311000,144738000,
190099,Colgate University,21,1566748676,1149086125,251578613,205551354,1527159229,1101021924,259832249,191602065,
174747,College of Saint Benedict,21,248239622,183240464,73317289,64490145,242157211,174413320,87789964,64376295,
160959,College of the Atlantic,21,100372090,92149946,43453091,24980859,82054368,73677714,29372831,24599516,
166124,College of the Holy Cross,21,1233091689,1026519742,248878713,182923990,1178933055,955483825,255915528,175760995,
126678,Colorado College,21,1134060376,924964238,160734880,154792604,1127662238,901048388,157718321,149137196,
173300,Concordia College at Moorhead,21,367218429,283866119,88266757,83869990,365607384,276851058,100664436,80153044,
128902,Connecticut College,21,512706000,391679000,151452000,117481000,476331000,357708000,134631000,116156000,
153162,Cornell College,21,202831733,162769930,43570162,39815482,190027293,159015250,47256615,38945967,
139393,Covenant College,21,112364738,102552956,40185890,32372732,108683042,94739798,37605970,30200123,
198385,Davidson College,21,1242551720,1131568698,217445155,129291442,1158111494,1045493931,205759779,123869196,
202523,Denison University,21,1277374789,1064838272,187818728,126599413,1245505948,1001367731,213057681,123718846,
150400,DePauw University,21,1060604993,867107545,169585445,117091934,1011750003,812964395,171035273,114166367,
212009,Dickinson College,21,718155414,557000559,162490598,136121013,692335621,530630974,168945849,130742025,
158802,Dillard University,21,279325729,271866725,203226858,45814578,291489277,114454445,43631807,45238615,
181020,Doane University,21,193411486,166021094,33220505,33512401,193560720,166087970,36121701,32730337,
184348,Drew University,21,303192000,186084000,74144000,94063000,305680000,205596000,77615000,96592000,
150455,Earlham College,21,601276776,490196245,71808495,65116831,604134398,483504581,98910531,61445870,
490850,East-West University,21,10363,0,99117,65138,10000,0,98645,64010,
144883,East-West University,21,93627314,69469525,11318450,10821040,96471376,68972115,12507633,11800032,
133492,Eckerd College,21,221593305,162847220,82939865,77182217,218828248,157272205,81725444,75081395,
212197,Elizabethtown College,21,200051247,144086320,73481447,64423202,193042653,135028075,79232776,66976896,
165671,Emmanuel College,21,445147036,125942143,70555071,64457081,437085971,119844153,72340443,63084613,
232025,Emory & Henry College,21,246829259,174940756,41803428,43248618,250635744,176385946,47751991,37247227,
220181,Fisk University,21,127113080,108339293,28771608,28686960,124429651,108254645,29615511,27645959,
127185,Fort Lewis College,21,,,,,,,,,
212577,Franklin and Marshall College,21,720326689,546005891,155033358,140525873,698852878,527518696,168169271,138275961,
150604,Franklin College,21,148233862,124722871,30427970,28581439,146824689,122876340,31246668,28481507,
218070,Furman University,21,1129152981,989406911,192982717,160885928,1106414014,955029562,200079428,150361493,
156745,Georgetown College,21,87318560,45972417,32809143,31675666,88567252,36640703,35310607,32887796,
212674,Gettysburg College,21,590113746,452984439,158060474,131261131,566654706,426185096,172136491,128367266,
165936,Gordon College,21,145212752,98805019,67067573,66666496,143824239,97036442,90818999,63496189,
162654,Goucher College,21,427212000,286732000,81392000,70743000,390049000,274907000,82220000,71360000,
153384,Grinnell College,21,2439523000,2187204000,266569000,125769000,2300452000,2049265000,364168000,125816000,
